./analysis/mapping/SRR6502193.genes.results	./analysis/mapping/SRR6502196.genes.results	./analysis/mapping/SRR6502199.genes.results	./analysis/mapping/SRR6502202.genes.results	./analysis/mapping/SRR6502205.genes.results	./analysis/mapping/SRR6502208.genes.results
1700088E04Rik	1.18	0.00	0.00	0.00	0.00	0.00
1700091H14Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700091J24Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700092C02Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700092C10Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700092E19Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700092K14Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700092M07Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700093K21Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700094D03Rik	6.44	2.21	3.58	12.57	23.15	11.21
1700094J05Rik	0.27	0.00	0.00	0.00	0.00	0.00
1700094M23Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700094M24Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700095A13Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700095A21Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700095B10Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700095J03Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700095J07Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700095J12Rik	1.19	0.00	0.00	0.70	0.00	0.00
1700095K22Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700096J18Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700096K18Rik	0.49	3.18	3.46	6.05	7.43	6.59
1700096P03Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700097N02Rik	10.75	3.51	3.63	0.00	0.00	0.37
1700099I09Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700100I10Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700100L14Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700101I11Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700101O22Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700102H20Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700102J08Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700102P08Rik	1.38	1.40	1.80	2.44	5.16	1.95
1700104B16Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700104L18Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700105F02Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700105P06Rik	0.39	0.00	0.00	0.00	0.00	0.00
1700108F19Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700108I11Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700108J01Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700108N06Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700109G14Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700109G15Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700109H08Rik	0.43	0.00	0.30	0.00	0.00	0.00
1700109I08Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700109K24Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700110C19Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700110I01Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700110I07Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700110K17Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700111N16Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700112D23Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700112H15Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700112J05Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700112J16Rik	2.10	0.00	0.00	0.00	0.00	0.00
1700112M02Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700112N08Rik	0.00	0.00	0.00	1.08	0.00	0.00
1700113A16Rik	0.00	1.27	0.27	0.92	0.00	0.00
1700113B09Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700113H08Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700116B05Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700116H05Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700119H24Rik	0.00	0.00	0.00	0.00	0.00	0.68
1700120B22Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700120C14Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700120E14Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700120G07Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700120K04Rik	1.39	0.00	2.94	0.00	1.71	0.00
1700121C08Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700121C10Rik	0.00	0.00	0.81	1.02	0.00	0.00
1700121L16Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700121M21Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700121N20Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700122C19Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700122E12Rik	0.00	0.09	0.09	0.00	0.15	0.00
1700122H20Rik	0.00	0.91	0.00	0.00	0.00	0.00
1700122O11Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700123J17Rik	0.00	0.00	0.00	0.00	0.87	1.27
1700123K08Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700123L14Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700123M08Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700123O12Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700123O20Rik	128.38	152.67	102.59	58.19	58.66	31.77
1700123O21Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700124L16Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700124M09Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700125G02Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700125G22Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700125H03Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700125H20Rik	0.00	0.00	0.00	0.00	0.52	0.00
1700126A01Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700126G02Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700126H18Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700127F24Rik	0.00	0.00	0.00	0.40	0.44	0.00
1700128A07Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700128E19Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700128F08Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700129C05Rik	0.00	0.00	0.00	0.00	0.00	0.00
1810006J02Rik	1.08	2.14	6.43	0.48	0.00	0.00
1810007C17Rik	0.00	0.00	0.00	0.00	0.00	0.00
1810007D17Rik	0.00	0.00	0.00	0.00	0.00	0.00
1810008I18Rik	2.12	2.24	0.00	0.37	0.00	0.48
1810009A15Rik	42.82	27.11	13.68	37.37	35.65	44.33
1810009J06Rik	0.00	0.00	0.00	0.00	0.00	0.00
1810010H24Rik	0.00	0.11	0.00	0.22	0.53	1.60
1810010K12Rik	0.00	0.00	0.00	0.00	0.00	0.00
1810012K16Rik	0.00	0.52	0.00	0.00	0.00	0.00
1810013A23Rik	0.00	0.00	0.00	0.00	0.00	0.00
1810013D15Rik	0.00	0.00	0.00	0.00	0.00	0.17
1810013L24Rik	14.64	12.23	17.14	60.98	106.20	66.98
1810014B01Rik	30.06	5.83	1.21	0.00	0.00	0.00
1810018F18Rik	0.00	0.00	0.00	0.00	0.00	0.00
1810019D21Rik	0.00	0.00	0.00	0.31	0.00	0.00
1810019N24Rik	0.15	0.00	0.00	0.00	0.00	0.00
1810020O05Rik	0.78	0.00	0.00	0.00	0.00	0.00
1810021B22Rik	1.49	1.12	0.70	0.00	0.61	1.12
1810021M19Rik	0.00	0.00	0.00	0.00	0.00	0.00
1810024B03Rik	0.38	0.00	0.00	0.00	0.16	0.00
1810030O07Rik	83.18	36.15	45.16	20.84	29.29	19.96
1810034E14Rik	3.70	0.00	1.35	0.00	0.00	0.00
1810035K13Rik	0.00	0.00	0.00	0.00	0.00	0.00
1810037I17Rik	9.18	53.69	23.62	16.79	19.07	18.94
1810041H14Rik	0.00	0.00	1.32	0.00	0.00	0.00
1810044D09Rik	1.74	0.65	1.83	0.76	3.21	0.98
1810046K07Rik	0.00	0.00	0.00	0.00	0.00	0.00
1810049I09Rik	0.00	0.00	0.00	0.00	0.00	0.00
1810053B23Rik	0.00	0.00	0.00	0.00	0.00	0.00
1810055G02Rik	14.12	156.68	170.80	9.31	2.65	1.34
1810058I24Rik	33.20	53.92	55.41	146.20	156.29	179.87
1810062G17Rik	0.00	0.45	0.00	0.00	0.00	0.00
1810062O18Rik	0.00	0.00	0.00	0.00	0.00	0.90
1810063I02Rik	0.00	0.00	0.00	0.00	0.00	0.00
1810064F22Rik	0.00	0.00	0.00	0.00	0.00	0.00
1810065E05Rik	0.00	0.00	0.00	0.00	0.00	0.00
1810073O08Rik	0.12	0.00	0.00	0.00	0.00	0.54
2010001A14Rik	1.16	0.29	0.00	0.00	0.95	1.31
2010001M07Rik	0.00	0.00	0.00	0.00	0.00	0.00
2010003K11Rik	0.00	0.00	0.00	0.00	0.00	0.00
2010009K17Rik	0.00	0.00	0.00	0.00	0.00	0.00
2010010A06Rik	0.00	0.00	0.00	0.00	1.33	1.24
2010016I18Rik	0.89	3.49	10.51	6.61	1.65	2.51
2010103J01Rik	0.00	0.00	0.00	0.00	0.00	0.00
2010106C02Rik	0.00	0.00	0.00	0.00	0.00	0.00
2010106E10Rik	0.00	0.00	0.00	0.00	0.00	0.00
2010109A12Rik	0.00	0.00	0.00	0.00	0.00	3.84
2010109P13Rik	0.00	0.00	0.00	0.00	0.00	0.00
2010110K18Rik	2.71	4.10	1.07	0.00	0.00	0.34
2010203P06Rik	0.00	0.00	0.00	0.38	0.47	0.43
2010204K13Rik	0.00	0.00	0.00	0.00	0.00	0.00
2010308F09Rik	0.00	0.00	0.00	0.00	0.00	0.00
2010310C07Rik	0.00	0.00	0.00	2.94	6.15	4.12
2010315B03Rik	17.48	3.92	8.09	3.18	5.64	7.54
2010320M18Rik	3.21	1.51	0.57	3.20	1.49	3.63
2010320O07Rik	0.00	0.00	0.00	0.00	0.00	0.00
2200002D01Rik	0.80	1.20	0.00	0.00	0.00	0.00
2200002J24Rik	0.00	0.00	0.00	0.00	0.00	0.00
2210010C04Rik	0.20	0.08	0.00	0.00	0.00	0.00
2210011K15Rik	0.00	0.00	0.00	0.00	0.00	0.00
2210016F16Rik	42.22	13.64	8.76	3.73	4.09	1.86
2210016L21Rik	44.84	11.90	9.56	9.05	9.84	3.67
2210039B01Rik	0.00	0.00	0.00	0.00	0.00	0.00
2210404E10Rik	0.00	0.00	0.00	0.00	0.00	0.00
2210406O10Rik	0.00	0.00	0.00	0.00	0.00	0.00
2210408F21Rik	0.00	0.00	0.00	1.09	0.71	0.00
2210408I21Rik	1.42	0.39	0.00	0.00	0.64	0.00
2210409D07Rik	0.00	0.00	0.00	0.00	0.00	0.00
2210409E12Rik	0.00	0.00	0.00	0.00	0.00	0.00
2210414B05Rik	0.00	0.00	0.00	0.28	0.00	0.00
2210416O15Rik	0.00	0.00	0.00	0.00	0.00	0.00
2210417A02Rik	0.00	0.00	0.00	0.60	0.00	0.76
2210418O10Rik	0.10	0.68	0.34	0.00	0.03	0.00
2210420H20Rik	0.00	0.00	0.00	0.00	0.00	0.00
2300002M23Rik	0.00	0.00	0.00	0.00	0.00	0.00
2300003K06Rik	0.00	0.00	0.00	0.00	0.00	0.00
2300009A05Rik	5.22	4.37	0.82	0.51	2.14	2.62
2310001H17Rik	1.88	7.00	10.98	46.50	52.59	49.23
2310001K24Rik	0.00	0.00	0.00	0.00	0.00	0.00
2310002D06Rik	0.00	0.00	0.00	0.00	0.00	0.00
2310002F09Rik	0.00	0.00	0.00	0.00	0.00	0.00
2310002L09Rik	0.00	0.00	0.00	0.00	0.00	0.00
2310003N18Rik	0.00	0.00	0.00	0.00	0.00	0.00
2310005A03Rik	0.00	0.00	0.00	0.00	0.00	0.00
2310005E17Rik	0.00	0.00	0.00	0.00	0.00	0.00
2310008N11Rik	0.00	0.00	0.00	0.00	0.00	0.00
2310009B15Rik	5.68	0.48	0.89	0.56	0.00	1.42
2310010J17Rik	0.00	0.00	0.00	12.38	7.69	10.61
2310011J03Rik	90.61	57.78	68.37	94.15	104.13	83.79
2310015A10Rik	1.29	0.35	1.91	3.27	11.09	15.50
2310015A16Rik	0.25	0.00	0.00	0.76	0.00	1.07
2310015D24Rik	0.00	0.00	0.00	0.00	0.00	0.00
2310015K22Rik	0.00	0.00	0.00	0.00	0.00	0.00
2310016D03Rik	0.00	0.00	0.00	0.00	0.00	0.00
2310016D23Rik	0.00	0.00	0.00	0.00	0.00	0.00
2310016G11Rik	0.00	0.00	0.00	0.00	0.00	0.00
2310020H05Rik	0.00	0.00	0.00	0.00	0.00	0.00
2310022A10Rik	33.95	14.76	20.06	3.15	7.07	6.79
2310022B05Rik	1.07	0.10	0.22	1.06	0.94	0.85
2310026I22Rik	0.00	0.00	0.00	0.00	0.00	0.00
2310030A07Rik	0.00	0.00	0.00	0.00	0.00	0.00
2310030G06Rik	0.00	0.00	0.00	0.00	0.00	0.00
2310033P09Rik	23.12	13.34	9.49	5.23	5.10	7.10
2310034C09Rik	0.00	0.00	0.00	0.00	0.00	0.00
2310034G01Rik	1.47	0.00	0.26	0.65	0.91	0.00
2310034O05Rik	0.00	0.00	0.81	0.61	0.85	0.77
2310039H08Rik	6.06	1.72	1.88	3.36	4.69	3.42
2310039L15Rik	0.00	0.00	0.00	0.00	0.00	0.00
2310040G24Rik	1.13	1.14	0.27	0.00	0.00	0.00
2310043L19Rik	0.00	0.00	0.00	0.00	0.00	0.00
2310043M15Rik	0.15	0.99	1.25	1.30	2.53	0.82
2310043O21Rik	0.00	0.00	0.38	0.00	0.00	0.00
2310047D07Rik	0.17	0.24	2.00	6.15	0.94	3.32
2310050C09Rik	0.00	0.00	0.00	0.00	0.00	0.00
2310057J18Rik	0.00	0.00	0.00	0.00	0.00	0.00
2310057M21Rik	14.37	7.83	1.79	0.20	0.16	0.66
2310057N15Rik	0.00	0.00	0.00	0.00	0.00	0.00
2310061I04Rik	55.67	21.86	20.66	28.33	21.29	23.62
2310061N02Rik	0.00	0.00	0.00	0.00	0.00	0.00
2310065F04Rik	0.00	0.00	0.00	0.00	0.00	0.00
2310067E19Rik	0.00	0.00	0.00	0.00	0.00	0.00
2310068J16Rik	1.12	0.00	0.00	0.00	0.00	0.25
2310069B03Rik	0.00	0.00	0.00	0.00	0.00	0.28
2310069G16Rik	0.00	0.00	0.00	0.00	0.00	0.00
2310075C17Rik	4.15	0.00	0.00	0.00	0.00	1.17
2310075K07Rik	0.68	0.26	0.24	0.30	0.14	0.00
2310079G19Rik	0.00	0.00	0.00	0.00	0.00	0.00
2310081J21Rik	0.00	0.00	0.00	0.00	0.00	0.00
2400006E01Rik	0.00	0.00	0.00	0.00	0.00	0.00
2410002F23Rik	191.72	16.07	6.57	5.33	10.10	2.03
2410003I16Rik	0.00	0.00	0.00	0.00	0.00	0.00
2410003L11Rik	1.67	0.84	0.00	0.00	0.00	0.00
2410004B18Rik	20.34	10.43	12.29	22.44	23.60	21.02
2410004I01Rik	0.00	0.00	0.00	0.00	0.00	0.00
2410004P03Rik	4.08	0.00	0.00	0.34	3.05	0.00
2410006H16Rik	30.28	5.87	11.64	27.42	28.75	71.42
2410012E07Rik	0.00	0.00	0.00	0.00	0.00	0.00
2410017I17Rik	0.00	0.00	0.00	0.00	0.00	0.00
2410018L13Rik	0.00	0.00	0.00	0.00	0.00	0.00
2410021H03Rik	0.00	0.00	0.00	0.00	0.00	0.00
2410022M11Rik	0.35	1.06	1.41	0.62	1.44	1.84
2410080I02Rik	0.10	0.00	0.00	0.00	0.00	0.00
2410124H12Rik	0.00	0.00	0.00	0.00	0.00	0.00
2410137M14Rik	0.00	0.00	0.00	0.00	0.00	0.00
2410141K09Rik	0.00	0.00	0.00	0.00	0.00	0.00
2500002B13Rik	3.32	0.80	0.75	0.31	1.31	0.00
2500004C02Rik	10.31	3.73	7.11	3.97	7.42	3.85
2510002D24Rik	38.17	14.29	8.07	11.11	10.11	3.04
2510003B16Rik	0.00	0.00	0.96	0.00	0.00	0.00
2510009E07Rik	0.58	0.21	0.00	0.00	0.00	0.00
2510022D24Rik	2.55	5.42	3.52	5.10	8.30	5.77
2510039O18Rik	8.07	14.42	16.90	13.14	18.87	13.20
2600006K01Rik	0.13	0.00	0.00	0.00	0.16	0.00
2600014E21Rik	0.00	0.00	0.00	0.00	0.00	0.00
2610001J05Rik	34.05	10.54	7.17	8.84	9.38	6.47
2610002M06Rik	14.68	7.60	5.56	5.19	3.75	2.83
2610005L07Rik	23.72	12.44	12.00	6.67	9.90	7.79
2610008E11Rik	9.66	2.41	1.00	1.42	0.86	0.73
2610016A17Rik	0.00	0.00	0.00	0.00	0.00	0.00
2610017A05Rik	0.00	0.00	0.00	0.00	0.00	0.00
2610020C07Rik	2.04	0.15	1.03	0.66	0.13	0.80
2610024D14Rik	0.39	0.59	1.84	1.95	12.65	11.98
2610027F03Rik	0.00	0.00	0.00	0.00	0.00	0.00
2610027K06Rik	0.00	0.00	0.27	0.00	0.00	0.00
2610028E06Rik	0.00	0.00	0.00	0.00	0.00	0.00
2610028H24Rik	0.00	0.00	0.00	0.00	0.00	0.00
2610035D17Rik	11.00	0.27	5.09	32.73	30.01	30.66
2610035F20Rik	0.00	0.00	0.00	0.00	0.00	0.00
2610037D02Rik	0.00	3.27	7.63	0.00	0.00	0.00
2610042L04Rik	0.00	0.00	0.00	0.00	0.00	0.00
2610044O15Rik8	10.00	7.00	7.68	1.24	1.10	1.00
2610203C22Rik	0.00	0.00	0.00	0.00	0.00	0.00
2610206C17Rik	0.13	0.00	0.00	0.00	0.00	0.00
2610300M13Rik	0.00	0.00	0.00	0.00	0.00	0.00
2610301B20Rik	49.89	3.28	1.91	0.45	0.64	0.12
2610306M01Rik	2.50	0.94	2.84	0.89	2.16	1.69
2610307P16Rik	2.08	0.00	0.06	0.32	0.00	0.00
2610316D01Rik	0.00	0.00	0.00	0.00	0.00	0.00
2610318M16Rik	0.00	0.00	0.00	0.00	0.00	0.00
2610318N02Rik	39.68	0.72	0.00	0.00	0.00	0.00
2610507B11Rik	61.25	29.93	27.01	17.28	18.66	20.37
2610507I01Rik	42.78	47.37	91.34	91.53	52.97	76.83
2610524H06Rik	43.78	0.85	0.60	1.76	7.35	11.18
2610528A11Rik	0.00	0.00	0.00	0.00	0.00	0.00
2610528J11Rik	0.00	0.22	0.00	0.00	0.00	0.00
2700003A03Rik	0.00	0.00	0.00	0.00	0.00	0.00
2700012I20Rik	2.47	3.11	1.17	0.36	1.53	0.00
2700038G22Rik	28.78	1.47	0.38	0.00	0.22	0.00
2700046A07Rik	0.00	0.00	0.00	0.00	0.00	0.00
2700046G09Rik	1.39	0.00	0.00	0.00	0.00	0.00
2700049A03Rik	17.65	9.02	6.14	5.83	7.18	5.18
2700054A10Rik	0.00	0.00	0.00	0.00	0.00	0.00
2700062C07Rik	30.02	8.51	3.91	2.00	0.62	0.28
2700068H02Rik	0.00	0.00	0.00	0.00	0.00	0.00
2700069I18Rik	0.00	0.00	0.00	0.00	0.00	0.00
2700070H01Rik	0.00	0.00	0.00	0.00	0.00	0.00
2700081O15Rik	2.35	0.00	0.00	0.00	0.26	0.36
2700089I24Rik	0.00	0.00	0.00	0.00	0.00	0.00
2700097O09Rik	41.79	9.76	0.65	4.16	1.81	2.76
2700099C18Rik	14.99	22.07	5.34	0.00	0.00	0.00
2810001G20Rik	2.42	7.99	4.94	2.68	0.37	1.71
2810002D19Rik	13.51	11.53	17.36	22.93	26.51	19.56
2810004N23Rik	95.51	20.11	6.85	2.59	5.32	2.72
2810006K23Rik	42.05	14.19	5.83	0.24	2.16	3.03
2810013P06Rik	13.67	4.35	8.36	33.55	72.35	52.09
2810021J22Rik	2.84	3.65	2.99	2.86	3.59	5.71
2810025M15Rik	17.33	1.56	0.59	0.00	0.00	0.00
2810029C07Rik	0.68	0.00	0.89	0.00	0.56	0.00
2810030D12Rik	0.00	0.00	0.00	0.00	0.00	0.62
2810032G03Rik	0.00	0.00	0.00	0.00	0.00	0.00
2810039B14Rik	1.35	0.00	0.00	0.00	0.00	0.00
2810047C21Rik1	0.51	0.00	0.00	0.00	0.00	0.00
2810048H02Rik	0.00	0.00	0.00	0.00	0.00	0.00
2810049E08Rik	0.00	0.00	0.00	0.00	0.00	0.00
2810403D21Rik	0.78	0.00	0.00	0.00	0.00	0.00
2810404M03Rik	0.00	0.00	0.00	0.00	0.00	0.00
2810405F15Rik	0.00	0.00	0.00	0.00	0.00	0.00
2810407A14Rik	0.00	0.00	0.00	0.00	0.00	0.29
2810408A11Rik	2.94	5.33	1.57	2.49	1.66	2.33
2810408B13Rik	0.73	0.16	0.02	0.00	0.00	0.09
2810408I11Rik	16.77	25.32	5.48	0.00	0.00	0.00
2810410L24Rik	0.33	0.00	0.00	0.00	0.00	0.00
2810414N06Rik	4.48	0.00	0.00	0.00	0.00	0.42
2810425M01Rik	0.00	0.00	0.00	0.00	0.00	0.00
2810429I04Rik	0.00	0.00	0.00	0.00	0.00	0.00
2810433D01Rik	0.00	0.00	0.00	0.00	0.00	0.00
2810442N19Rik	0.00	0.00	0.21	0.00	0.00	0.00
2810454H06Rik	0.07	0.00	0.80	2.66	5.66	5.24
2810459M11Rik	0.00	0.00	0.00	0.00	0.00	0.00
2810471M01Rik	0.00	0.00	0.00	0.00	0.00	0.00
2900005J15Rik	0.92	1.29	1.50	3.99	1.33	0.88
2900009J06Rik	0.00	0.00	0.00	0.00	0.00	0.00
2900024J01Rik	0.00	0.00	0.52	0.00	0.00	0.00
2900026A02Rik	1.40	0.05	0.00	0.00	0.00	0.00
2900040C04Rik	0.00	0.00	0.00	0.00	0.00	0.00
2900041M22Rik	0.00	0.00	0.00	0.00	0.00	0.00
2900052L18Rik	0.00	0.00	0.00	0.67	0.59	0.58
2900052N01Rik	0.00	0.00	0.00	0.00	0.00	0.00
2900057B20Rik	0.00	0.00	0.00	0.00	0.00	0.00
2900060B14Rik	3.49	3.07	6.16	2.05	5.02	3.94
2900060L22Rik	0.00	0.00	0.00	0.00	0.00	0.00
2900060N12Rik	0.00	0.00	0.00	0.00	0.00	0.00
2900076A07Rik	3.18	2.10	2.23	2.46	0.49	2.24
2900079G21Rik	0.00	0.00	0.00	0.00	0.00	0.00
2900089D17Rik	0.00	0.00	0.04	0.66	0.38	0.16
2900092C05Rik	0.00	0.00	0.00	0.00	0.00	0.00
2900092D14Rik	0.00	0.00	0.00	0.00	0.00	0.00
2900093K20Rik	1.78	1.34	1.25	1.05	8.76	0.67
3000002C10Rik	10.40	4.72	2.02	0.00	0.23	0.43
3010001F23Rik	0.00	0.00	0.00	0.00	0.00	0.00
3010003L21Rik	0.20	0.10	0.64	0.00	0.48	0.00
3100003L05Rik	0.00	0.00	0.00	0.00	0.00	0.00
3110004A20Rik	0.00	0.00	0.00	0.00	0.00	0.00
3110006O06Rik	0.00	0.00	0.00	0.04	0.00	0.00
3110009E18Rik	1.85	1.95	1.17	0.00	0.70	0.00
3110009F21Rik	0.00	0.00	0.00	0.00	0.00	0.00
3110015C05Rik	0.00	0.00	0.00	0.00	0.00	0.00
3110021A11Rik	0.00	0.00	0.00	0.00	0.00	1.14
3110039M20Rik	0.00	0.00	0.00	0.00	0.00	0.00
3110040M04Rik	0.45	0.00	0.00	0.00	0.00	0.00
3110040N11Rik	25.36	6.42	3.33	0.58	0.87	1.84
3110045C21Rik	0.00	2.33	1.57	0.00	0.00	0.50
3110053B16Rik	15.16	6.26	2.74	0.63	0.11	0.00
3110056K07Rik	5.71	3.12	5.00	23.16	35.22	40.27
3110067G11Rik	0.00	0.00	0.00	0.00	0.00	0.00
3110070M22Rik	0.67	0.84	0.95	0.99	0.83	3.02
3110082I17Rik	122.29	7.88	5.92	24.37	86.13	96.67
3110082J24Rik	0.00	0.00	0.00	0.00	0.00	0.00
3110083C13Rik	0.94	0.00	0.00	0.56	0.39	0.00
3110099E03Rik	0.00	0.00	0.00	0.00	0.00	0.00
3200001D21Rik	0.00	0.00	0.00	0.00	0.00	0.11
3300002A11Rik	0.00	0.00	0.00	0.00	0.00	0.00
3300002I08Rik	5.47	0.37	0.33	0.00	0.00	0.79
3300002P13Rik	0.00	0.00	0.00	0.00	0.86	0.00
3300005D01Rik	0.50	0.28	0.00	0.64	0.62	0.00
3425401B19Rik	0.00	0.00	0.00	0.00	0.19	0.00
3632454L22Rik	0.00	0.00	0.08	0.00	0.07	0.33
3830403N18Rik	1.02	0.38	0.00	0.23	1.26	0.00
3830406C13Rik	39.07	11.46	8.76	0.74	0.72	1.66
3830408C21Rik	1.29	0.27	0.00	1.57	1.75	1.72
3830432H09Rik	0.00	0.00	0.00	0.32	0.00	0.50
3930402G23Rik	0.00	0.00	0.05	0.00	0.00	0.00
4430402I18Rik	0.00	0.00	0.00	0.00	0.19	0.00
4631405J19Rik	0.00	0.00	0.00	0.00	0.00	0.00
4632404H12Rik	2.77	1.08	1.17	0.38	0.97	0.97
4632415L05Rik	9.63	2.44	1.14	0.44	1.05	0.34
4632427E13Rik	21.96	15.48	29.72	33.34	44.19	29.10
4632428C04Rik	0.00	0.00	0.00	0.00	0.00	0.00
4732414G09Rik	0.00	0.00	0.00	0.93	0.00	0.00
4732416N19Rik	0.00	0.00	0.00	0.59	0.00	1.32
4732419C18Rik	0.00	0.00	0.00	0.00	0.00	0.00
4732465J04Rik	0.00	0.00	0.40	0.00	4.93	0.64
4732471J01Rik	0.36	0.00	1.27	1.30	1.89	4.96
4732490B19Rik	0.00	0.60	0.00	0.00	0.00	0.30
4732491K20Rik	0.00	0.00	0.00	0.00	0.00	0.00
4831407H17Rik	0.00	0.00	0.00	0.92	0.00	0.00
4831440D22Rik	0.98	0.52	0.42	0.78	0.97	1.00
4831440E17Rik	0.00	0.20	0.19	0.39	2.47	1.32
4833407H14Rik	21.21	26.89	84.17	638.28	966.82	1006.20
4833411C07Rik	0.00	0.00	0.44	0.91	4.57	0.46
4833412C05Rik	0.23	0.00	0.00	0.21	0.29	1.86
4833413N01Rik	0.00	0.00	0.00	0.00	0.00	0.00
4833415N18Rik	0.00	0.00	0.00	0.00	0.00	0.00
4833417C18Rik	3.09	0.14	0.00	0.00	0.68	0.00
4833418N02Rik	5.60	1.15	1.94	12.94	16.15	9.25
4833419F23Rik	0.62	0.24	0.22	3.88	6.57	4.94
4833420G17Rik	70.80	34.38	32.17	49.80	75.09	52.11
4833422C13Rik	0.00	0.00	0.00	0.00	0.00	0.00
4833422M21Rik	0.00	0.00	0.00	0.00	0.00	0.00
4833427F10Rik	0.00	0.00	0.00	0.00	0.00	0.00
4833428L15Rik	0.00	0.00	0.00	0.00	0.00	0.00
4833438C02Rik	29.95	24.93	23.28	11.86	12.48	9.48
4833439F03Rik	0.00	0.00	0.00	0.00	0.00	0.00
4833439L19Rik	137.02	104.58	128.18	82.29	75.28	69.00
4833447I15Rik	1.24	0.00	0.97	0.00	0.00	0.00
4921504A21Rik	0.00	0.00	0.00	0.00	0.00	0.00
4921504E06Rik	0.00	0.00	0.00	0.00	0.00	0.00
4921507G05Rik	1.52	0.00	0.00	0.00	0.34	0.16
4921507P07Rik	2.48	10.25	3.37	0.00	0.55	0.00
4921508D12Rik	0.00	0.00	0.00	0.00	0.00	0.00
4921509C19Rik	0.00	0.00	0.00	0.00	0.00	0.00
4921509O07Rik	0.00	0.00	0.00	0.00	0.00	0.38
4921511C10Rik	4.00	0.24	2.74	4.41	6.35	2.17
